# ============================================================
# Commissioning phase pre-populated cache
# Format: input_sequence|output_sequence
# Generated from real device observations
# ============================================================

# --- Depth 1: single symbols without ARM_FAILSAFE ---
COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED
COMM_ATTESTATION_REQUEST|SESSION_ERROR
COMM_CERT_CHAIN_REQUEST_DAC|SESSION_ERROR
COMM_CERT_CHAIN_REQUEST_PAI|SESSION_ERROR
COMM_CSR_REQUEST|COMM_CSR_RECEIVED
COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE
COMM_ADD_NOC|INVALID_STATE

# --- Depth 2: ARM_FAILSAFE + one symbol ---
COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED
COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,INVALID_STATE

# --- Depth 2: no ARM_FAILSAFE pairs ---
COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|SESSION_ERROR,SESSION_ERROR
COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|SESSION_ERROR,SESSION_ERROR
COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|SESSION_ERROR,SESSION_ERROR
COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|INVALID_STATE,SESSION_ERROR
COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|INVALID_STATE,SESSION_ERROR
COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE

# --- Depth 3: ARM_FAILSAFE + attestation + one symbol ---
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CSR_RECEIVED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,INVALID_STATE

# --- Depth 3: ARM_FAILSAFE + CSR + one symbol ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CSR_RECEIVED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_NOC_INSTALLED

# --- Depth 3: swap adjacent in happy path ---
COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CERT_DAC_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CERT_PAI_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,INVALID_STATE,COMM_ATTESTATION_SENT
