# depth 1
PASE_PBKDF_REQUEST|PASE_PBKDF_SENT
PASE_PAKE1|SESSION_ERROR
PASE_PAKE3|SESSION_ERROR

# depth 2
PASE_PBKDF_REQUEST,PASE_PBKDF_REQUEST|PASE_PBKDF_SENT,PASE_PBKDF_SENT
PASE_PBKDF_REQUEST,PASE_PAKE1|PASE_PBKDF_SENT,PASE_PAKE1_SENT
PASE_PBKDF_REQUEST,PASE_PAKE3|PASE_PBKDF_SENT,SESSION_ERROR
PASE_PAKE1,PASE_PBKDF_REQUEST|SESSION_ERROR,SESSION_ERROR
PASE_PAKE1,PASE_PAKE1|SESSION_ERROR,SESSION_ERROR
PASE_PAKE1,PASE_PAKE3|SESSION_ERROR,SESSION_ERROR
PASE_PAKE3,PASE_PBKDF_REQUEST|SESSION_ERROR,SESSION_ERROR
PASE_PAKE3,PASE_PAKE1|SESSION_ERROR,SESSION_ERROR
PASE_PAKE3,PASE_PAKE3|SESSION_ERROR,SESSION_ERROR

# depth 3
PASE_PBKDF_REQUEST,PASE_PAKE1,PASE_PAKE3|PASE_PBKDF_SENT,PASE_PAKE1_SENT,PASE_COMPLETE
PASE_PBKDF_REQUEST,PASE_PAKE1,PASE_PAKE1|PASE_PBKDF_SENT,PASE_PAKE1_SENT,SESSION_ERROR
PASE_PBKDF_REQUEST,PASE_PAKE1,PASE_PBKDF_REQUEST|PASE_PBKDF_SENT,PASE_PAKE1_SENT,SESSION_ERROR
PASE_PBKDF_REQUEST,PASE_PBKDF_REQUEST,PASE_PAKE1|PASE_PBKDF_SENT,PASE_PBKDF_SENT,SESSION_ERROR
PASE_PBKDF_REQUEST,PASE_PBKDF_REQUEST,PASE_PAKE3|PASE_PBKDF_SENT,PASE_PBKDF_SENT,SESSION_ERROR
PASE_PBKDF_REQUEST,PASE_PBKDF_REQUEST,PASE_PBKDF_REQUEST|PASE_PBKDF_SENT,PASE_PBKDF_SENT,PASE_PBKDF_SENT
PASE_PBKDF_REQUEST,PASE_PAKE3,PASE_PBKDF_REQUEST|PASE_PBKDF_SENT,SESSION_ERROR,SESSION_ERROR
PASE_PBKDF_REQUEST,PASE_PAKE3,PASE_PAKE1|PASE_PBKDF_SENT,SESSION_ERROR,SESSION_ERROR
